2016-11-15, 22:11:54, 93000000, 95500000, 78125.00, 5376, -9.24, -1.#J, -1.#J, -10.17, -8.79, -1.#J, -11.22, -11.74, -8.81, -18.59, -1.#J, -1.#J, -1.#J, -15.52, -1.#J, -20.15, -8.07, -8.07, -18.92, -13.03, -9.62, -8.79, -1.#J, -38.65, -18.97, -1.#J, -8.01, -20.78, -1.#J, -8.61, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:54, 95500000, 98000000, 78125.00, 5376, -1.#J, -1.#J, -11.89, -8.96, -1.#J, -8.07, -8.74, -9.83, -1.#J, -13.71, -1.#J, -1.#J, -1.#J, -9.54, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -17.79, -1.#J, -1.#J, -11.54, -9.08, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:54, 98000000, 100500000, 78125.00, 5376, -1.#J, -1.#J, -1.#J, -8.91, -9.32, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -15.50, -14.79, -1.#J, -1.#J, -8.04, -1.#J, -15.44, -1.#J, -12.68, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -8.72, -9.29, -16.85, -1.#J, -1.#J
2016-11-15, 22:11:54, 100500000, 103000000, 78125.00, 5376, -1.#J, -1.#J, -15.58, -13.59, -1.#J, -11.15, -1.#J, -1.#J, -1.#J, -1.#J, -8.54, -1.#J, -10.60, -8.50, -1.#J, -1.#J, -1.#J, -1.#J, -11.84, -1.#J, -9.92, -11.25, -19.79, -1.#J, -1.#J, -12.13, -1.#J, -9.91, -1.#J, -8.79, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:54, 103000000, 105500000, 78125.00, 5376, -1.#J, -10.88, -1.#J, -13.19, -10.20, -1.#J, -1.#J, -8.40, -1.#J, -1.#J, -13.24, -9.33, -10.73, -8.22, -28.59, -8.58, -1.#J, -1.#J, -17.11, -1.#J, -9.00, -9.95, -8.09, -14.47, -1.#J, -1.#J, -1.#J, -19.05, -1.#J, -1.#J, -8.67, -1.#J, -1.#J
2016-11-15, 22:11:54, 105500000, 108000000, 78125.00, 5376, -12.25, -8.25, -1.#J, -1.#J, -9.62, -9.18, -13.35, -11.30, -1.#J, -8.61, -1.#J, -1.#J, -1.#J, -1.#J, -14.84, -8.27, -1.#J, -1.#J, -1.#J, -9.20, -11.10, -1.#J, -1.#J, -1.#J, -8.74, -1.#J, -1.#J, -15.31, -21.38, -1.#J, -15.02, -11.58, -11.58
2016-11-15, 22:12:04, 88000000, 90500000, 78125.00, 5120, -1.#J, -1.#J, -1.#J, -10.48, -1.#J, -20.66, -8.22, -16.92, -1.#J, -12.23, -12.44, -1.#J, -1.#J, -1.#J, -1.#J, -23.24, -11.60, -11.60, -1.#J, -11.47, -1.#J, -1.#J, -1.#J, -11.34, -1.#J, -1.#J, -1.#J, -1.#J, -22.27, -1.#J, -9.12, -1.#J, -1.#J
2016-11-15, 22:12:04, 90500000, 93000000, 78125.00, 5120, -10.72, -11.74, -9.34, -1.#J, -1.#J, -1.#J, -1.#J, -20.38, -7.94, -17.58, -1.#J, -12.46, -17.43, -1.#J, -8.90, -1.#J, -1.#J, -1.#J, -14.19, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -19.90, -11.23, -10.59, -8.27, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:04, 93000000, 95500000, 78125.00, 5120, -10.30, -1.#J, -9.74, -1.#J, -1.#J, -12.89, -1.#J, -7.89, -1.#J, -8.58, -9.47, -8.85, -11.89, -1.#J, -1.#J, -1.#J, -15.03, -15.03, -1.#J, -1.#J, -33.21, -12.59, -1.#J, -1.#J, -1.#J, -1.#J, -10.04, -17.92, -1.#J, -9.18, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:04, 95500000, 98000000, 78125.00, 5120, -1.#J, -20.06, -11.26, -8.46, -1.#J, -7.92, -8.20, -8.41, -19.20, -11.82, -1.#J, -1.#J, -17.00, -8.42, -1.#J, -14.44, -13.45, -13.45, -14.47, -8.14, -1.#J, -1.#J, -1.#J, -20.79, -10.91, -1.#J, -1.#J, -1.#J, -10.08, -1.#J, -1.#J, -1.#J, -1.#J
